stock_code,historical_name,corp_code,dart_corp_name,mapping_method,mapped
393890,,01291317,더블유씨피,stock_code,True
397030,,01375822,에이프릴바이오,stock_code,True
399720,,01364747,가온칩스,stock_code,True
402340,,01596425,SK스퀘어,stock_code,True
403870,,01288827,HPSP,stock_code,True
417200,,01528141,LS머트리얼즈,stock_code,True
418550,,00411808,제이오,stock_code,True
420770,,00765569,기가비스,stock_code,True
437730,,00262266,삼현,stock_code,True
439260,,00182696,대한조선,stock_code,True
443060,,01194689,HD현대마린솔루션,stock_code,True
445680,,01498974,큐리옥스바이오시스템즈,stock_code,True
446070,,01702017,유니드비티플러스,stock_code,True
450080,,01311408,에코프로머티,stock_code,True
452260,,01722437,한화갤러리아,stock_code,True
453340,,01721809,현대그린푸드,stock_code,True
454910,,01105153,두산로보틱스,stock_code,True
456040,,01760738,OCI,stock_code,True
456160,,01577952,지투지바이오,stock_code,True
457190,,01762569,이수스페셜티케미컬,stock_code,True
458870,,01514227,씨어스,stock_code,True
460850,,01765256,동국씨엠,stock_code,True
460860,,01765265,동국제강,stock_code,True
462870,,01384787,시프트업,stock_code,True
466100,,01784914,클로봇,stock_code,True
475150,,01817081,SK이터닉스,stock_code,True
475830,,01658831,오름테라퓨틱,stock_code,True
483650,,01649204,달바글로벌,stock_code,True
484870,,01519790,엠앤씨솔루션,stock_code,True
487570,,01854763,HS효성,stock_code,True
489790,,01867758,한화비전,stock_code,True
499790,,01882845,GS피앤엘,stock_code,True
