date,Regime-Aware V1,Static MVO,Equal Weight,EIIE 40ep,Cash
2026-07-07,141.13209269429623,235.33831887842226,180.10205327523022,84.22811491935018,100.0
2026-07-08,141.13209269429623,221.89339342292013,173.2485424029586,82.45649156113033,100.0
2026-07-09,141.13209269429623,222.551321217925,172.46194358676038,79.17814689523249,100.0
2026-07-10,141.13209269429623,227.29660897156728,178.07164166778128,81.91654408942615,100.0
2026-07-13,141.13209269429623,204.34063032613304,167.46980750659094,80.60928569023206,100.0
2026-07-14,141.13209269429623,208.6292786157868,166.38148357493228,78.70234814404189,100.0
2026-07-15,141.13209269429623,221.10477505292764,173.61186310810268,81.25164838562532,100.0
2026-07-16,141.13209269429623,203.28919150867577,165.82324270469206,81.41082544880311,100.0
2026-07-20,141.13209269429623,193.9307554934872,157.99120969503682,79.77877817034124,100.0
2026-07-21,141.13209269429623,203.26416145616628,163.40367166472961,82.61184388843009,100.0
2026-07-22,141.13209269429623,205.5888884902654,165.9093585858865,84.16684280958962,100.0
2026-07-23,141.13209269429623,213.35591828155435,173.96480936896836,93.37117478760875,100.0
2026-07-24,141.13209269429623,197.06896413417832,163.0013250259843,88.41865074763106,100.0
2026-07-27,141.13209269429623,200.61439415980084,167.76682277795666,95.38684539514384,100.0
2026-07-28,141.13209269429623,174.62787094296615,151.43812546372274,89.4391220317536,100.0
2026-07-29,141.13209269429623,165.0449618859716,143.9087459853156,86.05511242638433,100.0
2026-07-30,141.13209269429623,162.6539655724005,142.21623494907752,83.34213756808471,100.0
2026-07-31,141.13209269429623,202.60008181819478,163.4905501214655,88.66691354351454,100.0
2026-08-03,141.13209269429623,188.24416303512274,158.28845963012884,88.46720506502943,100.0
2026-08-04,141.13209269429623,188.65158622646032,161.28433737844512,96.07432445937334,100.0
2026-08-05,141.13209269429623,194.46082358785574,165.65743875082245,97.07249064486597,100.0
2026-08-06,141.13209269429623,182.71799438022092,159.71300232975304,95.8729528131588,100.0
2026-08-07,141.13209269429623,181.31920596979862,156.40266872566045,89.45399195463818,100.0
2026-08-10,141.13209269429623,181.70225701132844,156.70580818183447,90.05883133588407,100.0
2026-08-11,141.13209269429623,186.5599121555041,157.16614687008956,91.0666723036086,100.0
2026-08-12,141.13209269429623,197.12749441344747,161.62279231395013,91.67109462721689,100.0
2026-08-13,141.13209269429623,206.184169442593,167.88638236999748,96.10652445544854,100.0
2026-08-14,141.13209269429623,213.44747776879336,172.86709672584232,96.71055963444755,100.0
2026-08-18,134.67250918220734,209.16555868539595,169.42689415381878,92.28413950183646,100.0
2026-08-19,127.18744960911353,193.25410171002358,160.01019579625122,88.65351752804162,100.0
2026-08-20,127.18744960911353,209.73951189074742,167.93274073858427,93.30235732423222,100.0
2026-08-21,129.58074209338272,215.80855782816846,171.09273936665318,94.31042398821192,100.0
2026-08-24,129.58074209338272,201.7769379779109,166.84640880715688,94.91487872533907,100.0
2026-08-25,130.30399703210855,202.4729203590677,167.7776620723333,93.70686632653857,100.0
2026-08-26,130.08312429308023,204.03270047152208,167.4932693244995,93.5053081934176,100.0
2026-08-27,130.36084186922528,206.3535965093442,167.85085471484277,92.09533959084982,100.0
2026-08-28,129.61190250134592,200.5666557126731,166.8865305264929,93.70689139699982,100.0
2026-08-31,130.34870950395322,202.88296316570413,167.83523324560838,92.30014308738455,100.0
2026-09-01,129.99486397266057,203.50699687070795,167.37962653110066,91.49653969860024,100.0
2026-09-02,125.21530670782836,194.56483709570173,161.22553331908057,89.08597467523278,100.0
2026-09-03,125.21530670782836,194.46754721495168,162.73712163248638,88.482466388004,100.0
2026-09-04,125.21530670782836,198.31842770249335,164.35491904345437,90.89782238154028,100.0
2026-09-07,130.42049162309146,209.27438680653302,171.18713283462012,92.70479765823126,100.0
2026-09-08,129.24248905618992,208.47157886155347,169.64091199623775,91.30241319123591,100.0
2026-09-09,130.08592182842798,209.83205839870945,170.05357505873914,89.5001975546754,100.0
2026-09-10,129.94558770025037,209.60569571037843,169.97607749757753,88.69923561929114,100.0
2026-09-11,126.01540804325492,203.2662111934315,168.09234278293152,88.09869179527101,100.0
2026-09-14,122.89035905557317,194.74417545913573,163.92383026682282,87.09775506521544,100.0
2026-09-15,122.89035905557317,193.9628683907886,162.59996770715023,87.89916948967218,100.0
